key;day_full;day;month_full;month_nr;month_short;month_name;Semester_full;Semester;year
91;01/04/2010;1;abr/10;4;APR;April;2010-S1;1;2010
92;02/04/2010;2;abr/10;4;APR;April;2010-S1;1;2010
93;03/04/2010;3;abr/10;4;APR;April;2010-S1;1;2010
94;04/04/2010;4;abr/10;4;APR;April;2010-S1;1;2010
95;05/04/2010;5;abr/10;4;APR;April;2010-S1;1;2010
96;06/04/2010;6;abr/10;4;APR;April;2010-S1;1;2010
97;07/04/2010;7;abr/10;4;APR;April;2010-S1;1;2010
98;08/04/2010;8;abr/10;4;APR;April;2010-S1;1;2010
99;09/04/2010;9;abr/10;4;APR;April;2010-S1;1;2010
100;10/04/2010;10;abr/10;4;APR;April;2010-S1;1;2010
101;11/04/2010;11;abr/10;4;APR;April;2010-S1;1;2010
102;12/04/2010;12;abr/10;4;APR;April;2010-S1;1;2010
103;13/04/2010;13;abr/10;4;APR;April;2010-S1;1;2010
104;14/04/2010;14;abr/10;4;APR;April;2010-S1;1;2010
105;15/04/2010;15;abr/10;4;APR;April;2010-S1;1;2010
106;16/04/2010;16;abr/10;4;APR;April;2010-S1;1;2010
107;17/04/2010;17;abr/10;4;APR;April;2010-S1;1;2010
108;18/04/2010;18;abr/10;4;APR;April;2010-S1;1;2010
109;19/04/2010;19;abr/10;4;APR;April;2010-S1;1;2010
110;20/04/2010;20;abr/10;4;APR;April;2010-S1;1;2010
111;21/04/2010;21;abr/10;4;APR;April;2010-S1;1;2010
112;22/04/2010;22;abr/10;4;APR;April;2010-S1;1;2010
113;23/04/2010;23;abr/10;4;APR;April;2010-S1;1;2010
114;24/04/2010;24;abr/10;4;APR;April;2010-S1;1;2010
115;25/04/2010;25;abr/10;4;APR;April;2010-S1;1;2010
116;26/04/2010;26;abr/10;4;APR;April;2010-S1;1;2010
117;27/04/2010;27;abr/10;4;APR;April;2010-S1;1;2010
118;28/04/2010;28;abr/10;4;APR;April;2010-S1;1;2010
119;29/04/2010;29;abr/10;4;APR;April;2010-S1;1;2010
120;30/04/2010;30;abr/10;4;APR;April;2010-S1;1;2010
121;01/05/2010;1;mai/10;5;MAI;May;2010-S1;1;2010
122;02/05/2010;2;mai/10;5;MAI;May;2010-S1;1;2010
123;03/05/2010;3;mai/10;5;MAI;May;2010-S1;1;2010
124;04/05/2010;4;mai/10;5;MAI;May;2010-S1;1;2010
125;05/05/2010;5;mai/10;5;MAI;May;2010-S1;1;2010
126;06/05/2010;6;mai/10;5;MAI;May;2010-S1;1;2010
127;07/05/2010;7;mai/10;5;MAI;May;2010-S1;1;2010
128;08/05/2010;8;mai/10;5;MAI;May;2010-S1;1;2010
129;09/05/2010;9;mai/10;5;MAI;May;2010-S1;1;2010
130;10/05/2010;10;mai/10;5;MAI;May;2010-S1;1;2010
131;11/05/2010;11;mai/10;5;MAI;May;2010-S1;1;2010
132;12/05/2010;12;mai/10;5;MAI;May;2010-S1;1;2010
133;13/05/2010;13;mai/10;5;MAI;May;2010-S1;1;2010
134;14/05/2010;14;mai/10;5;MAI;May;2010-S1;1;2010
135;15/05/2010;15;mai/10;5;MAI;May;2010-S1;1;2010
136;16/05/2010;16;mai/10;5;MAI;May;2010-S1;1;2010
137;17/05/2010;17;mai/10;5;MAI;May;2010-S1;1;2010
138;18/05/2010;18;mai/10;5;MAI;May;2010-S1;1;2010
139;19/05/2010;19;mai/10;5;MAI;May;2010-S1;1;2010
140;20/05/2010;20;mai/10;5;MAI;May;2010-S1;1;2010
141;21/05/2010;21;mai/10;5;MAI;May;2010-S1;1;2010
